;area;house_price;rooms;street_name;zipcode
167;109;650000;3 ;Visseringstraat 21 e;1051 KH
168;103;699000;3 ;Amstel 136;1017 AD
169;113;911000;3 ;Céramiquelaan 15;1031 KG
170;170;525000;4 ;Oeverpad 507 +2PP;1068 PM
171;86;639000;3 ;Silodam 122;1013 AS
172;100;550000;3 ;Nieuwe Nieuwstraat 6 F;1012 NH
173;145;909991 von;4 ;Revaleiland (Bouwnr. 91);1014 ZM
174;145;909991 von;4 ;Revaleiland (Bouwnr. 91);1014 ZM
175;238;1028685 von;6 ;Revaleiland (Bouwnr. 20);1014 ZM
176;211;1165864 von;7 ;Narva-eiland 53 +55;1014 ZJ
177;30;145000;1 ;Harry Koningsbergerstraat 152;1063 AG
178;46;400000;1 ;Gustav Mahlerlaan 555 B;1082 MK
179;104;649500;3 ;Quellijnstraat 7 A;1072 XM
180;43;290000;2 ;Avercampstraat 29;1072 RA
181;75;275000; ;Fred. Thomasstraat 50;1068 WD
182;252;1200000;6 ;Lisdoddelaan 60;1087 KA
183;108;285000;6 ;Johan Schamppad 16;1106 WT
184;137;350000; ;Claus van Amsbergstraat 34;1102 AZ
185;128;500000;5 ;Diemerparklaan 64;1087 GM
186;138;420000;4 ;Balatonmeerlaan 41;1060 RD
187;132;485000; ;Joris Ivensplein 9;1087 AZ
188;151;569000; ;Bernhard Eilershof 16;1087 DC
189;85;425000;4 ;Landsmeerderdijk 17;1035 PS
190;170;1200000 von;6 ;Nieuwendammerdijk 228;1025 LW
191;174;465000;7 ;Raoul Wallenbergstraat 78;1102 AX
192;112;775000; ;Kerkstraat 147;1017 GG
193;59;350000;2 ;Pastelstraat 6 IV;1073 HS
194;94;300000;4 ;Osdorpplein 220;1068 ER
195;90;215000;4 ;Krulslaplantsoen 14;1104 KK
196;115;445000;5 ;Herderhof 11;1064 VT
197;108;875000;5 ;Derde Helmersstraat 5 H;1054 AZ
198;108;525000;3 ;Cabralstraat 5 K;1057 CD
199;50;319000;2 ;Stuyvesantstraat 15 I;1058 AJ
200;49;200000;2 ;Olof Palmeplein 94;1025 WV
201;47;285000;2 ;Waalstraat 69 I;1079 DP
202;108;275000;5 ;Mijehof 261;1106 HH
203;99;285000;4 ;Pieter Calandlaan 658;1060 TW
204;70;400000;3 ;Joubertstraat 23 -huis;1091 XN
205;46;225000;1 ;Spitsbergenstraat 67;1013 CL
206;71;225000;3 ;Louis de Visserstraat 31;1069 RG
207;34;195000;2 ;Van Nijenrodeweg 373;1082 HE
208;73;425000;3 ;Commelinstraat 13 1;1093 TE
209;78;450000;4 ;Bilderdijkstraat 58 -H;1053 KV
210;242;895000;8 5 ;Noorderakerweg 277;1069 LT
211;50;249000;2 ;Insulindeweg 866;1095 DT
212;64;345000;3 ;Amaliastraat 10 IV;1052 GN
213;112;750000;4 ;Westerdok 370;1013 BH
214;73;259000;4 ;Cornelis Lelylaan 105 1;1065 CN
215;61;250000;2 ;J.C. van Epenstraat 73;1019 GR
216;113;375000;6 ;Oosterlengte 8;1034 KZ
217;88;399000 von;3 ;Mary van der Sluisstraat 264;1095 ME
218;155;749000;4 ;Kea Boumanstraat 116 -A;1095 MA
219;24;180000;1 ;Van Oldenbarneveldtstraat 36 I;1052 KC
220;63;200000; ;Zandpad-Driemond 18;1109 AG
