;area;house_price;rooms;street_name;zipcode
0;160;885000 von;3 ;Prins Hendrikkade 163;1011 TB
1;90;420000;5 ;Wessel Gansfortstraat 45;1064 NR
2;336;2550000;0 ;Singel 90;1015 AD
3;96;498000;3 ;Nicolaas Witsenkade 45 -T;1017 ZV
4;92;225000;4 ;Kelbergen 347;1104 LS
5;270;1750000; ;Oudezijds Achterburgwal 33;1012 DA
6;440;2950000;11 ;Keizersgracht 229;1016 DV
7;119;325000;6 ;Wyandottestraat 33;1109 BS
8;373;3980000;8 ;Keizersgracht 728;1017 EW
9;329;4450000;9 ;Van Breestraat 154;1071 ZX
10;440;6400000;8 ;Valeriusplein 24 .;1075 BH
11;171;550000;5 ;P. Hans Frankfurthersingel 272;1060 TR
12;325;2000000;7 ;Leidsegracht 102;1016 CT
13;87;459000;3 ;Oleanderstraat 37 I;1031 GP
14;91;325000;4 ;Zandpad-Driemond 54;1109 AH
15;77;Prijs op aanvraag;4 ;Zuid-Hollandstraat 8 -1;1082 EK
16;86;195000;3 ;Papendrechtstraat 28;1106 BP
17;80;200000;4 ;Eastonstraat 35;1068 JA
18;40;225000;2 ;Korte Geuzenstraat 217;1056 KT
19;54;389000;5 ;Jozef Israëlskade 81 2 H;1073 RA
20;32;200000;2 ;Pretoriusstraat 15 -3V;1092 EW
21;49;300000;2 ;Geuzenstraat 51 2;1056 KB
22;57;250000;2 ;Nijenburg 104;1081 GG
23;90;295000;3 ;Ecuplein 39;1060 RN
24;77;400000;3 ;Blankenstraat 370 -A;1018 SK
25;103;595000;5 ;Derde Oosterparkstraat 135 A;1092 CS
26;102;575000;4 ;Laplacestraat 68;1098 HZ
27;92;475000;3 ;Frederik Hendrikstraat 172 B;1052 JH
28;29;185000;1 ;Conradstraat 104 -I;1018 NL
29;47;225000;2 ;Veeteeltstraat 16 -A;1097 WV
30;87;250000;4 ;Amerbos 53;1025 XZ
31;80;295000;3 ;Hellenburg 25;1082 GP
32;106;622763 von;3 ;Badhuiskade 333;1031 KV
33;50;215000;2 ;Eerste Atjehstraat 160 3;1094 KW
34;70;295000;3 ;Jan van Zutphenstraat 179;1069 RR
35;61;175000;3 ;Langswater 745;1069 EG
36;93;450000;4 ;Van Speijkstraat 10 III;1057 HA
37;44;239000;2 ;Hofmeyrstraat 28 -II;1091 NA
38;150;1375000;4 ;Singel 116 III;1015 AE
39;107;499000 von;3 ;Mary van der Sluisstraat 310;1095 ME
40;74;225000;3 ;Noordzijde 237;1064 ME
41;100;245000;4 ;Nieuwe Laan 115;1068 CB
42;32;249000;2 ;Waterpoortsteeg 1;1012 BJ
43;138;399000;7 ;Henegouwenstraat 130;1066 DH
44;77;400000;4 ;Blauwpijpstraat 31;1019 KX
45;200;1000000;7 ;Ruyschstraat 46 -huis;1091 CD
46;81;275000;3 ;Dijkmanshuizenstraat 24;1024 XR
47;61;175000;3 ;Langswater 3;1069 TR
48;94;450000;3 ;Paradijsplein 84;1093 NJ
49;98;425000;3 ;Teslastraat 154;1098 VM
50;47;285000;2 ;Jan Pieter Heijestraat 96 III;1053 GT
51;83;320000;4 ;Ladogameerhof 84;1060 PJ
52;81;575000;3 ;Prinseneiland 67 B;1013 LM
53;48;375000;3 ;Warmoesstraat 16 N;1012 JD
54;78;260000;3 ;Burgemeester Hogguerstraat 121;1064 CL
55;96;750000;3 ;Joh.M. Coenenstraat 52 +PP;1071 WH
56;238;2340000;6 ;Prinsengracht 1099 A;1017 JH
57;75;525000;3 ;Wilhelminastraat 60 III;1054 WK
58;51;350000;2 ;Wilhelminastraat 60 II;1054 WK
59;51;235000;3 ;Goeman Borgesiusstraat 1 F;1067 LN
60;105;524500;3 ;Henri Zagwijnstraat 18 II;1077 XR
61;93;649000;4 ;Nieuwe Prinsengracht 87 C;1018 VR
62;27;219000;2 ;Albert Cuypstraat 256 I;1073 BR
63;411;3650000;8 ;Lauriergracht 47 F;1016 RG
64;74;479000;3 ;Goudsbloemstraat 159 HS;1015 JM
65;182;1350000;5 ;Quinten Massijsstraat 6 I;1077 MD
66;113;625000;3 ;Oudezijds Voorburgwal 316 C;1012 GM
67;187;1299000;6 ;Gerrit van der Veenstraat 108 hs;1077 EN
68;198;1195000;5 ;Falckstraat 43;1017 VV
69;66;495000;3 ;Ruysdaelstraat 62 II;1071 XG
70;55;260000;2 ;Willem de Zwijgerlaan 334 B20;1055 RD
71;97;395000;3 ;Bos en Lommerplein 66;1055 EK
