;area;house_price;rooms;street_name;zipcode
0;102;300000; ;Vorselaarstraat 6;1066 NN
1;118;750000;4 ;Jan Pieter Heijestraat 172 III-IV;1054 ML
2;42;315000;2 ;Driehoekstraat 46;1015 GL
3;96;399000;4 ;Dirk Vreekenstraat 9 + p.pl;1019 DP
4;34;225000;2 ;Sint Willibrordusstraat 117;1073 VB
5;92;275000;4 ;Bovenover 49;1025 JJ
6;81;550000;3 ;Kerkstraat 249 B;1017 GW
7;38;195000;2 ;Niasstraat 34 F;1095 VC
8;73;450000;2 ;Overtoom 166 H;1054 HP
9;75;350000;4 ;Ernest Staesstraat 27 hs;1061 CB
10;91;500000;4 ;Amsteldijk 61 2;1074 HX
11;65;395000;3 ;Finsenstraat 7 h;1098 RD
12;97;545000;3 ;Van Oldenbarneveldtstraat 52 M + pp;1052 KC
13;66;342500;3 ;Cabotstraat 23 III+IV;1057 VP
14;52;345000;2 ;Eerste Jan van der Heijdenstraat 101 I;1072 TM
15;42;250000;2 ;Lootsstraat 32 -II;1053 NZ
16;65;350000;3 ;Kinkerstraat 77 III;1053 DH
17;50;275000;2 ;Jan Evertsenstraat 156 -II;1056 EL
18;52;275000;2 ;Jan Pieter Heijestraat 142 -I;1054 MJ
19;119;749000;4 ;Vondelstraat 42 H;1054 GE
20;40;180000;2 ;Wieringerwaardstraat 211;1024 HL
21;31;225000;2 ;Gerard Doustraat 79 III;1072 VM
22;125;464026 von;4 ;Willem van Konijnenburgstraat 1 bwno.6;1062 DM
23;30;200000;2 ;Admiraal De Ruijterweg 521 A3;1055 MJ
24;74;185000;3 ;Streefkerkstraat 21;1107 LM
25;52;275000;2 ;Hoofdweg 143 D;1057 CN
26;50;275000;2 ;Gaaspstraat 13 -2;1079 VA
27;69;350000;3 ;Jacob van Lennepkade 294 A+B;1053 NG
28;48;350000;2 ;Oudezijds Voorburgwal 158 B;1012 GH
29;87;449000;4 ;Bataviastraat 72;1095 EX
30;66;455000;2 ;Weesperzijde 120 - huis;1091 EP
31;133;599000;4 ;Mensinge 6 *;1083 HA
32;220;1100000;10 ;Bosboom Toussaintstraat 53 bv;1054 AP
33;107;699000;3 ;Westerdok 386;1013 BH
34;84;365000;5 ;Sara Burgerhartstraat 12 III;1055 KX
35;56;240000;3 ;Theodorus Majofskistraat 5 3;1065 SM
36;80;435000;3 ;Halmaheirastraat 63 hs;1094 RH
37;59;350000;3 ;Katwijkstraat 12 -I;1059 XN
38;74;320000;2 ;Bosrankstraat 6;1032 LH
39;88;595000;3 ;Nassaukade 358 I;1054 AA
40;105;275000;5 ;Sam van Houtenstraat 199 B;1067 JG
41;102;900000;3 ;Nieuwe Herengracht 29 C;1011 RL
42;31;215000;2 ;De Wittenkade 25 1-A;1052 AA
43;112;700000;3 ;Lijnbaansgracht 369 B*;1017 XB
44;92;550000;4 ;Vierwindenstraat 123;1013 LA
45;65;325000;3 ;Dick Greinerstraat 78;1019 CV
46;39;225000;1 ;Makassarstraat 54 B;1095 TA
47;134;599000 von;5 ;Klaprozenweg 49 C;1032 KK
48;31;165000;1 ;Willem de Zwijgerlaan 334 F-3;1055 RD
49;51;298000;2 ;Schippersgracht 7 II;1011 TR
50;65;325000;3 ;Fannius Scholtenstraat 66 I-II;1051 GA
51;76;325000;2 ;Van Boshuizenstraat 1;1083 AP
52;50;325000;2 ;Hortusplantsoen 42;1018 TZ
53;71;485000;3 ;Saenredamstraat 49 III;1072 CC
54;68;272883 von;3 ;Willem van Konijnenburgstraat 1 bwno.4;1062 DM
55;216;1500000;5 ;Prinsengracht 721 A;1017 JW
56;75;280000;3 ;Professor J.H. Gunningstraat 33;1068 MS
57;99;485000;4 ;Cabralstraat 26 H;1057 CH
58;51;249900;2 ;Jan Lievensstraat 21;1074 TL
59;217;1250000;7 ;Raphaëlstraat 8 III;1077 PR
60;56;419000;2 ;Blaeustraat 7;1012 ZK
61;171;550000 von;6 ;H. Stolleplantsoen;1022 KD
62;82;325000;6 ;Plejadenplein 29;1033 VK
63;174;575000;5 ;Van Nijenrodeweg 914;1081 BK
64;104;315000;5 ;Maurits Kannstraat 11;1063 GL
65;171;595000;6 ;Hoekenes 96;1068 NA
66;104;325000;5 ;Maurits Kannstraat 15;1063 GL
67;115;595000;5 ;Ertskade 85;1019 BB
68;274;2350000;7 ;Willemsparkweg 180;1071 HV
69;100;350000;6 ;Sneeuwbalstraat 72;1032 HB
70;174;925000 von;6 ;Transvaalkade 36;1092 JM
71;90;399000;4 ;Thomas à Kempisstraat 29;1064 LT
72;118;625000;6 ;Neerkanne 6;1082 BH
73;84;229500;4 ;Tolkamerstraat 83;1107 PC
74;85;300000;4 ;Osdorperweg 938;1067 TE
75;115;300000;4 ;Markiespad 15;1033 WR
76;197;750000;6 ;Bastenakenstraat 134;1066 JG
77;118;400000;5 ;Buiksloterdijk 482;1034 ZM
78;151;435000;5 ;Johan Hofmanstraat 185;1069 KD
79;61;200000;3 ;Medemblikstraat 33 /1;1023 XN
80;73;369000;3 ;Wagenaarstraat 444;1093 EA
81;85;575000;2 ;Vondelstraat 11 H2;1054 GC
82;53;275000;2 ;Jan Evertsenstraat 137 A;1057 BV
83;113;950000;4 ;Pieter Baststraat 29 HS;1071 TV
84;87;350000;3 ;Esplanade de Meer 111 + PP;1098 WJ
85;75;469000;3 ;Overtoom 502 -I;1054 KJ
86;77;310000;3 ;Wittgensteinlaan 355;1062 KJ
87;51;240000;1 ;Ernest Staesstraat 35 II;1061 CB
88;60;425000;4 ;Kuipersstraat 69 AIII;1074 EH
89;86;465000;5 ;Crynssenstraat 41 III/IV;1058 XV
90;70;174500;3 ;Reigersbos 239;1107 EX
91;65;415000;3 ;Patroclosstraat 14 2;1076 NG
92;59;295000;3 ;Aalsmeerweg 129 I;1059 AH
93;83;420000;4 ;Tweede Wittenburgerdwarsstraat 174;1018 LP
94;175;925000;9 ;Mr. P.N. Arntzeniusweg 10 hs;1098 GN
95;54;269500;3 ;Bankastraat 26 3;1094 EE
96;27;210000;2 ;Kinkerstraat 332 -I;1053 GD
97;93;289000;3 ;Ruimzicht 220;1068 CV
98;62;350000;3 ;Seranggracht 40;1019 PM
99;67;350000;3 ;Reinier Claeszenstraat 25 l;1056 WD
100;252;2795000;8 ;Willemsparkweg 217 H;1071 HC
101;84;500000;5 ;Kromme Leimuidenstraat 11 2;1059 EL
102;154;1000000;5 ;Bickerswerf 36;1013 KX
103;72;175000;3 ;Liendenhof 73;1108 HC
104;42;275000;2 ;Theseusstraat 10 -I;1076 XL
105;80;600000;3 ;Bloemstraat 67 -B;1016 KX
106;75;450000;3 ;Hogeweg 90 2;1098 CH
107;57;325000;2 ;Tweede Oosterparkstraat 178 A;1092 BT
