;area;house_price;rooms;street_name;zipcode
0;132;399000;4 ;J.F. Berghoefplantsoen 1;1064 DE
1;111;375000;5 ;Lomondlaan 3;1060 PL
2;131;325000;5 ;Ethekwini 34;1103 AW
3;131;598011;5 ;Buiksloterbreek 65;1034 XD
4;103;425000;4 ;Wessel Gansfortstraat 5;1064 NP
5;232;1175000;7 ;Kea Boumanstraat 94;1095 MA
6;113;675000;6 ;Kadoelenweg 170;1035 NL
7;103;700000;5 ;Durgerdammerdijk 119;1026 CG
8;130;550000;5 ;Emmy Andriessestraat 429;1087 NE
9;92;349511;5 ;Lange Vonder 108;1035 JZ
10;100;395000;4 ;Dorpsstraat Holysloot 16;1028 BD
11;78;425000;3 ;Lodewijk Boisotstraat 2 I;1057 ZN
12;95;525000;4 ;Paramariboplein 36 III;1058 AT
13;60;290000;2 ;Rupelmonde 5;1081 GP
14;63;325000;3 ;Asingaborg 141;1082 SH
15;111;845000;3 ;Overhoeksparklaan 166;1031 KC
16;115;785000;3 ;Cornelis Dopperkade 7 - 1 hg;1077 KM
17;90;350000;4 ;Ben van Meerendonkstraat 283;1087 LN
18;101;385000;4 ;Brand Dirk Ochsepark 8;1087 HC
19;59;209011;3 ;Kermispad 67;1033 ZA
20;87;700000;3 ;Zoomstraat 37 -III-IV;1078 XH
21;140;600000;5 ;Rooseveltlaan 201 II;1079 AR
22;66;339000;2 ;Zeeburgerdijk 13 -III;1093 SK
23;99;340000;3 ;Ben van Meerendonkstraat 259;1087 LN
24;107;600000;3 ;Nieuwe Nieuwstraat 4 D;1012 NH
25;242;1575000;6 ;Memlingstraat 7 - hs;1077 LP
26;114;645000;3 ;Mauritskade 78;1093 RP
27;203;1295000;9 ;Anthonie van Dijckstraat 11 -I;1077 MG
28;95;275000;5 ;Dwergvinvisstraat 43;1035 HM
29;134;800000;5 ;Ertskade 99;1019 BB
30;125;350000;6 ;Brenner 82;1060 NV
31;111;400000;4 ;Count Basiestraat 27;1066 GL
32;116;500000;3 ;Stoombootweg 5;1035 TS
33;125;449000;5 ;Noorderakerweg 70;1069 LW
34;91;425000;4 ;Stentorstraat 90;1035 XJ
35;190;950000;7 ;Nieuwendammerdijk 413;1023 BL
36;173;535000;6 ;Schaarbeekstraat 23;1066 JW
37;236;1195000;6 ;Oldenaller 54;1081 HK
38;47;475000; ;Nieuwezijds Armsteeg 5;1012 NB
39;94;220000;4 ;Baden Powellweg 47;1069 LC
40;52;275000;3 ;Kijkduinstraat 57 -II;1055 XS
41;61;200000;3 ;Langswater 85;1069 TR
42;51;250000;3 ;Orteliusstraat 288 hs;1056 PN
43;49;250000;3 ;Coppelstockstraat 54 I;1056 XM
