;area;house_price;rooms;street_name;zipcode
0;73;335000;3 ;Max Planckstraat 11 III;1098 TR
1;118;499000;4 ;Heintje Hoekssteeg 8 -1;1012 GR
2;34;115000;1 ;Daniël Defoelaan 131;1102 ZE
3;59;299000;3 ;Hunzestraat 124 1hg;1079 WJ
4;72;240000;4 ;Alkmaarstraat 33;1024 TJ
5;115;440000;4 ;Praterlaan 18;1098 WR
6;35;200000;1 ;Haparandaweg 714;1013 BD
7;99;450000;4 ;Zeeburgerdijk 548;1095 AM
8;38;275000;2 ;Oudezijds Achterburgwal 129 III;1012 DE
9;59;275000;2 ;Nachtwachtlaan 514;1058 ET
10;94;850000;3 ;Prinseneiland 31 B;1013 LL
11;70;225000;3 ;Bruins Slotstraat 23;1067 VC
12;80;375000;4 ;Haarlemmerweg 491 A;1055 PK
13;59;150000;2 ;Hogevecht 99;1102 HE
14;59;325000;4 ;Zeilstraat 48 2;1075 SJ
15;95;649000;3 ;Tuinstraat 119 A;1015 PA
16;183;550000;6 ;Pracanalaan 28;1060 RC
17;204;1375000;0 ;Elandsstraat 16;1016 SG
18;110;348800;5 ;IJzerhof 5;1066 WN
19;85;375000;3 ;Sneeuwbalstraat 44;1032 HA
20;157;1075000;6 ;Tuinstraat 44;1015 PE
21;69;257500; ;Van Karnebeekstraat 73;1067 RH
22;162;475000;5 ;Örehof 15;1060 RW
23;152;400000;5 ;Spaklerweg 24;1096 BA
24;218;947500;6 ;Burgemeester Eliasstraat 9;1064 SC
25;315;2400000;8 ;Sloterkade 31;1058 HE
26;228;1950000;8 ;Egelantiersgracht 360;1015 RR
27;29;195000;1 ;Molukkenstraat 109 L;1095 BA
28;50;259000;3 ;Granidastraat 68 3;1055 HN
29;28;189000;1 ;Welnastraat 477;1096 GJ
30;107;400000;4 ;Ottho Heldringstraat 29 C;1066 XT
31;69;375000;3 ;Jan Lievensstraat 42 -2;1074 TS
32;83;400000;4 ;Derde Oosterparkstraat 324;1092 SC
33;121;825000;7 ;Gerrit van der Veenstraat 40 -2;1077 EE
34;76;300000;3 ;Troelstralaan 247;1067 MX
35;77;200000;3 ;Scherpenzeelstraat 41;1107 HR
36;50;275000;3 ;Orteliusstraat 213 I;1056 NP
37;33;165000;1 ;Bos en Lommerplantsoen 107 a;1055 AA
38;101;365000;3 ;Talbotstraat 225;1087 DM
39;101;579000;4 ;Kruithuisstraat 98;1018 WW
40;71;325000;3 ;Fahrenheitsingel 33;1097 NS
41;98;250000;4 ;Kleiburg 944;1104 EA
42;95;595000;4 ;Nassaukade 302 IV;1053 LN
43;38;225000;1 ;Groen van Prinstererstraat 50 H;1051 EN
44;97;495000;3 ;Van Oldenbarneveldtstraat 52 M;1052 KC
45;28;200000;2 ;Saenredamstraat 9 -D;1072 CA
46;100;795000;3 ;Prinsengracht 346 C;1016 HZ
47;50;250000;2 ;Borgerstraat 254 II;1053 RG
48;72;429000;3 ;Staringstraat 9 L;1054 VM
49;52;220000;2 ;Doggersbankstraat 1 HS;1055 NV
