;area;house_price;rooms;street_name;zipcode
0;85;575000;4 ;Lindengracht 274 A;1015 KN
1;72;500000;3 ;Derde Weteringdwarsstraat 3 A;1017 TA
2;198;1300000;5 ;Johan Braakensiekhof 27;1068 KK
3;62;300000; ;Scharwouderstraat 3;1023 CW
4;75;550000;3 ;Utrechtsedwarsstraat 113 c;1017 WD
5;185;1375000;3 ;Bloemgracht 129 A3;1016 KL
6;266;1295000;10 ;Amsteldijk 31 hs;1074 HT
7;144;600000;3 ;Bert Haanstrahof 26;1087 DL
8;81;600000;2 ;Nieuwe Herengracht 25 III;1011 RL
9;529;4690000;7 14 ;Zuidelijke Wandelweg 33;1079 RK
10;51;345000;2 ;Derde Weteringdwarsstraat 5 B;1017 TA
11;115;885000;3 ;Lindengracht 168 III;1015 KL
12;82;550000;4 ;Van Bossestraat 52 III;1051 KA
13;105;400000;4 ;Sem Presserhof 31;1087 JE
14;199;1500000;4 ;Eerste Jacob van Campenstraat 52 H;1072 BH
15;160;Prijs op aanvraag;6 ;Boerensteeg 9;1012 CC
16;134;850000;4 ;Jacob van Lennepkade 75 III-IV;1054 ZH
17;43;365000;2 ;Elandsgracht 84 -2;1016 TZ
18;58;309000;3 ;Grianestraat 16 1;1055 GA
19;97;319000;4 ;Ruimzicht 286;1068 CZ
20;72;225000;4 ;Langswater 897;1069 EH
21;91;445000;4 ;Haarlemmerweg 229 C;1051 NV
22;64;225000;3 ;De Egmondenstraat 123;1024 SB
23;88;475000;3 ;Meerhuizenstraat 14 L;1078 TH
24;147;825000;4 ;Spadinalaan 5;1031 KB
25;45;265000;2 ;Van Hogendorpstraat 145 H;1051 BM
26;99;300000;4 ;Baden Powellweg 18 B;1069 KW
27;96;350000;3 ;Jan Vrijmanstraat 281;1087 MN
28;155;695000;4 ;Prins Hendrikkade 151 A;1011 AV
29;49;395000;2 ;Eikenweg 74 F;1092 CB
30;79;350000;3 ;Entrepothof 34;1019 DJ
31;113;495000;5 ;Oostzanerdijk 79;1033 AB
32;190;765000; ;Barkentijnkade 123;1086 VL
33;98;400000;3 ;Kadoelenweg 210;1035 NN
34;181;1750000;6 ;Jan Luijkenstraat 32 Hs;1071 CP
35;43;300000;2 ;Zamenhofstraat 38;1022 AD
36;42;179000;2 ;Roosje Vosstraat 111;1069 RA
37;111;359500;3 ;A.J. Krophollerstraat 30;1064 DB
38;85;390000;5 ;Chasséstraat 1 II;1057 HV
39;80;500000;3 ;Nassaukade 170 -4;1053 LM
40;105;275000;4 ;C.K. Eloutstraat 14;1068 JZ
41;65;275000;3 ;Loevestein 68;1082 XK
42;79;450000;3 ;Jacob van Lennepkade 60 III+IV;1053 ML
43;50;149500;2 ;Dolingadreef 201;1102 WT
44;70;350000;3 ;Cabotstraat 23 II+III;1057 VP
45;27;225000;2 ;Kinkerstraat 114 III;1053 ED
46;68;445000;3 ;Zandstraat 28 HS;1011 HL
47;86;520000;2 ;Visseringstraat 91;1051 MG
48;101;449000;3 ;Linnaeusparkweg 196 HS;1098 EP
49;52;225000;2 ;Bos en Lommerplantsoen 73 H;1055 AA
50;100;600000;4 ;Haarlemmer Houttuinen 7 B;1013 GL
51;51;295000;3 ;Katwijkstraat 16 I;1059 XP
52;80;199596;4 ;Koppenburglaan 96;1104 PR
53;199;750000;6 ;Kometensingel 111 b;1033 BC
54;68;540000;3 ;Keizersgracht 643 -B;1017 DT
55;123;660000;4 ;Reinier Claeszenstraat 68 hs;1056 WP
56;140;750000;5 ;Admiraal De Ruijterweg 400 Huis;1055 ND
57;108;500000;4 ;John Blankensteinstraat 143 B;1095 MB
58;36;265000;2 ;De Kempenaerstraat 8 I;1051 CN
59;28;175000;1 ;Bos en Lommerplantsoen 31 D;1055 AA
60;62;189000;2 ;Het Breed 549;1025 HV
61;128;220000;5 ;Rhenenhof 62;1106 JG
62;80;225000;4 ;Amerbos 386;1025 ZX
63;70;520000;2 ;Tweede Weteringdwarsstraat 38 III;1017 SX
64;150;699000;4 ;Rijnstraat 234;1079 HV
