,postcode,house_price,area,size,purchase_price,lat,lon
1461,1107 PX Netherlands,175000.0,70.0,,131328.94736842104,52.29255149999999,4.9697358
1462,1107 TG Netherlands,248000.0,89.0,130.0,154666.66666666666,52.2907441,4.9694889
1463,1107 XA Netherlands,175000.0,57.0,,122000.0,52.2924108,4.9862125
1464,1107 XD Netherlands,209000.0,65.0,,170375.0,52.2924126,4.9841018
1465,1107 XE Netherlands,185000.0,77.0,,137250.0,52.2923827,4.9832519
1466,1108 AA Netherlands,950000.0,229.0,813.0,226594.0,52.3055246,5.0110345
1467,1108 BC Netherlands,155000.0,71.0,,18543137.931034483,52.3069439,4.9757149
1468,1108 BK Netherlands,195000.0,70.0,,7047965.517241379,52.3073687,4.9763855
1469,1108 CW Netherlands,215000.0,88.0,1725.0,17068731.0,52.3089495,4.9786877
1470,1108 CZ Netherlands,235000.0,88.0,,5720339.024390244,52.3087417,4.978367
1471,1108 DJ Netherlands,195000.0,70.0,,13196920.57142857,52.3066846,4.978693799999999
1472,1108 EN Netherlands,180000.0,71.0,,8274504.268292683,52.3100605,4.9829006
1473,1108 HC Netherlands,175000.0,72.0,,157342.85714285713,52.3087085,4.9843939
1474,1108 HG Netherlands,249000.0,87.0,,176942.85714285713,52.3071966,4.9838211
1475,1108 HL Netherlands,265000.0,105.0,,178615.38461538462,52.3079757,4.9829929
1476,1108 HN Netherlands,265000.0,92.0,,162345.83333333334,52.3080447,4.982156499999999
1477,1109 AG Netherlands,200000.0,63.0,138.73076923076923,204760.61538461538,52.3044429,5.0157208
1478,1109 AH Netherlands,325000.0,91.0,149.96666666666667,234848.23333333334,52.304075,5.0187735
1479,1109 AN Netherlands,275000.0,79.0,180.0,173316.0,52.3034753,5.0195703
1480,1109 AR Netherlands,495000.0,108.0,217.0,420000.0,52.3050545,5.0187214
1481,1109 BG Netherlands,307000.0,97.5,133.07692307692307,197123.07692307694,52.3069014,5.0143806
1482,1109 BK Netherlands,752500.0,165.0,217.67741935483872,293903.4528301887,52.3051695,5.0152749
1483,1109 BN Netherlands,925000.0,283.0,2327.5,423083.3333333333,52.3106294,5.0053458
1484,1109 BS Netherlands,325000.0,119.0,167.8,307676.55,52.3046728,5.014516599999999
1485,1109 BX Netherlands,375000.0,127.0,164.66666666666666,292477.0,52.3058628,5.0156503
